parameter,setting,jointValue,gateValue,noRepairValue,initialAction,maxTerminalError
repair_cost,0,0.48241608,0.8341439999999998,0.8341439999999998,repair,0.033144
repair_cost,0.1,0.60734408,0.8341439999999998,0.8341439999999998,repair,0.034552
repair_cost,0.2,0.7314615199999999,0.8341439999999998,0.8341439999999998,repair,0.036823999999999996
repair_cost,0.4,0.8341439999999998,0.8341439999999998,0.8341439999999998,verify,0.23199999999999993
repair_cost,0.8,0.8341439999999998,0.8341439999999998,0.8341439999999998,verify,0.23199999999999993
repair_success,0,0.8341439999999998,0.8341439999999998,0.8341439999999998,verify,0.23199999999999993
repair_success,0.2,0.8341439999999998,0.8341439999999998,0.8341439999999998,verify,0.23199999999999993
repair_success,0.5,0.8341439999999998,0.8341439999999998,0.8341439999999998,verify,0.23199999999999993
repair_success,0.8,0.7314615199999999,0.8341439999999998,0.8341439999999998,repair,0.036823999999999996
repair_success,1.0,0.6381465,0.8341439999999998,0.8341439999999998,repair,0.030430000000000006
verify_accuracy,0.5,0.7317031199999999,0.92,0.92,repair,0.040312
verify_accuracy,0.65,0.7317031199999999,0.92,0.92,repair,0.040312
verify_accuracy,0.8,0.7314615199999999,0.8341439999999998,0.8341439999999998,repair,0.036823999999999996
verify_accuracy,0.95,0.601,0.601,0.601,verify,0.050000000000000044
verify_accuracy,1.0,0.52,0.52,0.52,verify,0.0
horizon,1,0.32,0.32,0.32,fallback,1.0
horizon,2,0.44,0.44,0.44,fallback,1.0
horizon,4,0.6583999999999999,0.6583999999999999,0.6583999999999999,verify,0.19999999999999996
horizon,6,0.7314615199999999,0.8341439999999998,0.8341439999999998,repair,0.036823999999999996
horizon,8,0.7736209928,0.9838630399999997,0.9838630399999997,repair,0.01721384
