horizon,error,value
1,0.0,0.84
1,0.05,0.84
1,0.1,0.84
1,0.15,0.84
1,0.2,0.84
1,0.25,0.84
1,0.3,0.84
1,0.35,0.84
1,0.4,0.84
1,0.45,0.84
1,0.5,0.84
3,0.0,1.12
3,0.05,1.12
3,0.1,1.12
3,0.15,1.12
3,0.2,1.12
3,0.25,1.12
3,0.3,1.12
3,0.35,1.12
3,0.4,1.12
3,0.45,1.12
3,0.5,1.12
5,0.0,1.13
5,0.05,1.38
5,0.1,1.4
5,0.15,1.4
5,0.2,1.4
5,0.25,1.4
5,0.3,1.4
5,0.35,1.4
5,0.4,1.4
5,0.45,1.4
5,0.5,1.4
8,0.0,1.13
8,0.05,1.491
8,0.1,1.82
8,0.15,1.82
8,0.2,1.82
8,0.25,1.82
8,0.3,1.82
8,0.35,1.82
8,0.4,1.82
8,0.45,1.82
8,0.5,1.82
