threshold,joint,gate,gap,gate_exact,action
0.0,0.73146152,0.73146152,0.0,9143269/12500000,REPAIR
0.25,0.73146152,0.73146152,0.0,9143269/12500000,REPAIR
0.4,0.73146152,0.73146152,0.0,9143269/12500000,REPAIR
0.45,0.73146152,0.834144,0.10268248,26067/31250,VERIFY
0.5,0.73146152,0.834144,0.10268248,26067/31250,VERIFY
0.51,0.73146152,0.834144,0.10268248,26067/31250,VERIFY
0.52,0.73146152,0.834144,0.10268248,26067/31250,VERIFY
0.53,0.73146152,0.834144,0.10268248,26067/31250,VERIFY
0.54,0.73146152,0.834144,0.10268248,26067/31250,VERIFY
0.55,0.73146152,0.834144,0.10268248,26067/31250,VERIFY
0.56,0.73146152,0.834144,0.10268248,26067/31250,VERIFY
0.57,0.73146152,0.834144,0.10268248,26067/31250,VERIFY
0.58,0.73146152,0.834144,0.10268248,26067/31250,VERIFY
0.59,0.73146152,0.834144,0.10268248,26067/31250,VERIFY
0.6,0.73146152,0.834144,0.10268248,26067/31250,VERIFY
0.61,0.73146152,0.834144,0.10268248,26067/31250,VERIFY
0.62,0.73146152,0.834144,0.10268248,26067/31250,VERIFY
0.63,0.73146152,0.834144,0.10268248,26067/31250,VERIFY
0.64,0.73146152,0.834144,0.10268248,26067/31250,VERIFY
0.65,0.73146152,0.834144,0.10268248,26067/31250,VERIFY
0.66,0.73146152,0.834144,0.10268248,26067/31250,VERIFY
0.67,0.73146152,0.834144,0.10268248,26067/31250,VERIFY
0.68,0.73146152,0.834144,0.10268248,26067/31250,VERIFY
0.69,0.73146152,0.834144,0.10268248,26067/31250,VERIFY
0.7,0.73146152,0.834144,0.10268248,26067/31250,VERIFY
0.71,0.73146152,0.834144,0.10268248,26067/31250,VERIFY
0.72,0.73146152,0.834144,0.10268248,26067/31250,VERIFY
0.73,0.73146152,0.834144,0.10268248,26067/31250,VERIFY
0.74,0.73146152,0.834144,0.10268248,26067/31250,VERIFY
0.75,0.73146152,0.834144,0.10268248,26067/31250,VERIFY
0.76,0.73146152,0.834144,0.10268248,26067/31250,VERIFY
0.77,0.73146152,0.834144,0.10268248,26067/31250,VERIFY
0.78,0.73146152,0.834144,0.10268248,26067/31250,VERIFY
0.79,0.73146152,0.834144,0.10268248,26067/31250,VERIFY
0.8,0.73146152,0.834144,0.10268248,26067/31250,VERIFY
0.81,0.73146152,0.834144,0.10268248,26067/31250,VERIFY
0.82,0.73146152,0.834144,0.10268248,26067/31250,VERIFY
0.83,0.73146152,0.834144,0.10268248,26067/31250,VERIFY
0.84,0.73146152,0.834144,0.10268248,26067/31250,VERIFY
0.85,0.73146152,0.834144,0.10268248,26067/31250,VERIFY
0.86,0.73146152,0.834144,0.10268248,26067/31250,VERIFY
0.87,0.73146152,0.834144,0.10268248,26067/31250,VERIFY
0.88,0.73146152,0.834144,0.10268248,26067/31250,VERIFY
0.89,0.73146152,0.834144,0.10268248,26067/31250,VERIFY
0.9,0.73146152,0.834144,0.10268248,26067/31250,VERIFY
0.91,0.73146152,0.834144,0.10268248,26067/31250,VERIFY
0.92,0.73146152,0.834144,0.10268248,26067/31250,VERIFY
0.93,0.73146152,0.834144,0.10268248,26067/31250,VERIFY
0.94,0.73146152,0.834144,0.10268248,26067/31250,VERIFY
0.95,0.73146152,0.834144,0.10268248,26067/31250,VERIFY
0.96,0.73146152,0.834144,0.10268248,26067/31250,VERIFY
0.97,0.73146152,0.834144,0.10268248,26067/31250,VERIFY
0.98,0.73146152,0.834144,0.10268248,26067/31250,VERIFY
0.99,0.73146152,0.834144,0.10268248,26067/31250,VERIFY
