horizon,joint,gate,gap,threshold
1,0.9,0.9,0.0,0.6
2,1.5,1.5,0.0,0.4
3,2.1,2.1,0.0,0.3333333333333333
4,2.7,2.7,0.0,0.3
5,3.05,3.3,0.25,0.28
6,3.4,3.9,0.5,0.26666666666666666
7,3.75,4.5,0.75,0.2571428571428571
8,4.1,5.1,1.0,0.25
9,4.45,5.7,1.25,0.24444444444444444
10,4.8,6.3,1.5,0.24
11,5.15,6.9,1.75,0.23636363636363636
12,5.5,7.5,2.0,0.23333333333333334
13,5.85,8.1,2.25,0.23076923076923078
14,6.2,8.7,2.5,0.22857142857142856
15,6.55,9.3,2.75,0.22666666666666666
16,6.9,9.9,3.0,0.225
17,7.25,10.5,3.25,0.2235294117647059
18,7.6,11.1,3.5,0.2222222222222222
19,7.95,11.7,3.75,0.22105263157894736
20,8.3,12.3,4.0,0.22
21,8.65,12.9,4.25,0.21904761904761905
22,9.0,13.5,4.5,0.21818181818181817
23,9.35,14.1,4.75,0.21739130434782608
24,9.7,14.7,5.0,0.21666666666666667
25,10.05,15.3,5.25,0.216
26,10.4,15.9,5.5,0.2153846153846154
27,10.75,16.5,5.75,0.21481481481481482
28,11.1,17.1,6.0,0.21428571428571427
29,11.45,17.7,6.25,0.21379310344827587
30,11.8,18.3,6.5,0.21333333333333335
31,12.15,18.9,6.75,0.2129032258064516
32,12.5,19.5,7.0,0.2125
33,12.85,20.1,7.25,0.21212121212121213
34,13.2,20.7,7.5,0.21176470588235294
35,13.55,21.3,7.75,0.21142857142857144
36,13.9,21.9,8.0,0.2111111111111111
37,14.25,22.5,8.25,0.21081081081081082
38,14.6,23.1,8.5,0.21052631578947367
39,14.95,23.7,8.75,0.21025641025641026
40,15.3,24.3,9.0,0.21
41,15.65,24.9,9.25,0.2097560975609756
42,16.0,25.5,9.5,0.20952380952380953
43,16.35,26.1,9.75,0.20930232558139536
44,16.7,26.7,10.0,0.20909090909090908
45,17.05,27.3,10.25,0.2088888888888889
46,17.4,27.9,10.5,0.20869565217391303
47,17.75,28.5,10.75,0.20851063829787234
48,18.1,29.1,11.0,0.20833333333333334
49,18.45,29.7,11.25,0.20816326530612245
50,18.8,30.3,11.5,0.208
