horizon,prior,trees,difference_exact,value_exact
0,"('3/5', '1/4', '3/20')",2,0,1/5
0,"('1/3', '1/3', '1/3')",2,0,1/6
0,"('1/2', '1/2', '0')",2,0,1/4
1,"('3/5', '1/4', '3/20')",12,0,8/25
1,"('1/3', '1/3', '1/3')",12,0,43/150
1,"('1/2', '1/2', '0')",12,0,37/100
2,"('3/5', '1/4', '3/20')",230,0,11/25
2,"('1/3', '1/3', '1/3')",230,0,61/150
2,"('1/2', '1/2', '0')",230,0,49/100
3,"('3/5', '1/4', '3/20')",61872,0,14/25
3,"('1/3', '1/3', '1/3')",61872,0,79/150
3,"('1/2', '1/2', '0')",61872,0,137/250
