parameter,setting,joint,gate,no_repair,joint_exact,gate_exact,no_repair_exact,action,model_sha256
repair_cost,0.0,0.48241608,0.834144,0.834144,6030201/12500000,26067/31250,26067/31250,REPAIR,7af90c57a19c629b23fd77196504fc1c7fc09bb859fd68e4d1de6b54ba329838
repair_cost,0.1,0.60734408,0.834144,0.834144,7591801/12500000,26067/31250,26067/31250,REPAIR,b762909782c0d79942c9d9f7491351ed6199569557ea035d67cbbe29f8bf14f2
repair_cost,0.2,0.73146152,0.834144,0.834144,9143269/12500000,26067/31250,26067/31250,REPAIR,ce52ab9f2d8906cf843f9a233686c1f52ed680d6e69ef7a8478c45dffb3b5ba2
repair_cost,0.4,0.834144,0.834144,0.834144,26067/31250,26067/31250,26067/31250,VERIFY,adf2937e745cf61ff3b61be899bfee95235420dcd22cdddaddf85688fd8afc92
repair_cost,0.8,0.834144,0.834144,0.834144,26067/31250,26067/31250,26067/31250,VERIFY,0eb2878b72da80eea31f93f51f17e18eb0709fa207bededdb5cbfd8ab0d94872
repair_success,0.0,0.834144,0.834144,0.834144,26067/31250,26067/31250,26067/31250,VERIFY,9e0d01e5975ec50db9b4f6c0adfa01a43a4152faf0adbd918842b68d9b3dfb1b
repair_success,0.2,0.834144,0.834144,0.834144,26067/31250,26067/31250,26067/31250,VERIFY,52e58fcf6d314b7ce89f2b9b8151b9c686e7ea42d1e7683acf77d5c241a355f1
repair_success,0.5,0.834144,0.834144,0.834144,26067/31250,26067/31250,26067/31250,VERIFY,43b4f09dc82a700d9c6f67dc69e3835072d9045b418342cf587cf540068cf691
repair_success,0.8,0.73146152,0.834144,0.834144,9143269/12500000,26067/31250,26067/31250,REPAIR,ce52ab9f2d8906cf843f9a233686c1f52ed680d6e69ef7a8478c45dffb3b5ba2
repair_success,1.0,0.6381465,0.834144,0.834144,1276293/2000000,26067/31250,26067/31250,REPAIR,eae281bf6718af236d34344eca4496a916ba50d3ff3b84ab24e53d5655ff78f8
verify_accuracy,0.5,0.73170312,0.92,0.92,9146289/12500000,23/25,23/25,REPAIR,66fac0b9b8ef385b3b943bfc4707d8a012ca8c696a3a76c115cd341e7140911e
verify_accuracy,0.65,0.73170312,0.92,0.92,9146289/12500000,23/25,23/25,REPAIR,129732b84377653d35ab35e7ed5570ff95479c536d3dc5112e84f077f77a630c
verify_accuracy,0.8,0.73146152,0.834144,0.834144,9143269/12500000,26067/31250,26067/31250,REPAIR,ce52ab9f2d8906cf843f9a233686c1f52ed680d6e69ef7a8478c45dffb3b5ba2
verify_accuracy,0.95,0.601,0.601,0.601,601/1000,601/1000,601/1000,VERIFY,d016009951b3f5a57b59fb4da3db4a09138f048140efa6f8d1dfa688963f2d97
verify_accuracy,1.0,0.52,0.52,0.52,13/25,13/25,13/25,VERIFY,d1f39aa952b2054e5cde1c7adad35527e0488eaf9e650f02ab5cb9cba39dada0
horizon,1.0,0.32,0.32,0.32,8/25,8/25,8/25,FALLBACK,17907a332fc4047172fc5640c26bdeedb1ce776f57f15c8112d5f9857b3abd5e
horizon,2.0,0.44,0.44,0.44,11/25,11/25,11/25,FALLBACK,e0c5ed2bcc2ec1996fd7742794c019e6b987e51837fd16281366fd6f7bcbeea0
horizon,4.0,0.6584,0.6584,0.6584,823/1250,823/1250,823/1250,VERIFY,043406a7cd7a6b54e2bad2f8a09b829827a201c3d2d07595f2e3c17dfbee08c4
horizon,6.0,0.73146152,0.834144,0.834144,9143269/12500000,26067/31250,26067/31250,REPAIR,ce52ab9f2d8906cf843f9a233686c1f52ed680d6e69ef7a8478c45dffb3b5ba2
horizon,8.0,0.7736209928,0.98386304,0.98386304,967026241/1250000000,768643/781250,768643/781250,REPAIR,d5bec8f723d38bf40ed2040b1f5554163a6765b64540486fe9a3bb6aeef734b7
