post_error,prior,value,action,repair_value
0.5,0.0,0.0,KEEP,1.1
0.5,0.01,0.12,KEEP,1.11
0.5,0.02,0.24,KEEP,1.12
0.5,0.03,0.36,KEEP,1.13
0.5,0.04,0.48,KEEP,1.14
0.5,0.05,0.6,KEEP,1.15
0.5,0.06,0.72,KEEP,1.16
0.5,0.07,0.84,KEEP,1.17
0.5,0.08,0.96,KEEP,1.18
0.5,0.09,0.995,VERIFY,1.19
0.5,0.1,1.03,VERIFY,1.2
0.5,0.11,1.065,VERIFY,1.21
0.5,0.12,1.1,VERIFY,1.22
0.5,0.13,1.135,VERIFY,1.23
0.5,0.14,1.1672,VERIFY,1.24
0.5,0.15,1.192,VERIFY,1.25
0.5,0.16,1.2168,VERIFY,1.26
0.5,0.17,1.2416,VERIFY,1.27
0.5,0.18,1.2664,VERIFY,1.28
0.5,0.19,1.29,REPAIR,1.29
0.5,0.2,1.3,REPAIR,1.3
0.5,0.21,1.31,REPAIR,1.31
0.5,0.22,1.32,REPAIR,1.32
0.5,0.23,1.33,REPAIR,1.33
0.5,0.24,1.34,REPAIR,1.34
0.5,0.25,1.35,REPAIR,1.35
0.5,0.26,1.36,REPAIR,1.36
0.5,0.27,1.37,REPAIR,1.37
0.5,0.28,1.38,REPAIR,1.38
0.5,0.29,1.39,REPAIR,1.39
0.5,0.3,1.4,REPAIR,1.4
0.5,0.31,1.41,REPAIR,1.41
0.5,0.32,1.42,REPAIR,1.42
0.5,0.33,1.43,REPAIR,1.43
0.5,0.34,1.44,REPAIR,1.44
0.5,0.35,1.45,REPAIR,1.45
0.5,0.36,1.46,REPAIR,1.46
0.5,0.37,1.47,REPAIR,1.47
0.5,0.38,1.48,REPAIR,1.48
0.5,0.39,1.488,VERIFY,1.49
0.5,0.4,1.48,VERIFY,1.5
0.5,0.41,1.472,VERIFY,1.51
0.5,0.42,1.464,VERIFY,1.52
0.5,0.43,1.456,VERIFY,1.53
0.5,0.44,1.448,VERIFY,1.54
0.5,0.45,1.44,VERIFY,1.55
0.5,0.46,1.432,VERIFY,1.56
0.5,0.47,1.424,VERIFY,1.57
0.5,0.48,1.416,VERIFY,1.58
0.5,0.49,1.408,VERIFY,1.59
0.5,0.5,1.4,VERIFY,1.6
0.5,0.51,1.392,VERIFY,1.57
0.5,0.52,1.384,VERIFY,1.54
0.5,0.53,1.376,VERIFY,1.51
0.5,0.54,1.368,VERIFY,1.48
0.5,0.55,1.36,VERIFY,1.45
0.5,0.56,1.352,VERIFY,1.42
0.5,0.57,1.344,VERIFY,1.39
0.5,0.58,1.336,VERIFY,1.36
0.5,0.59,1.328,VERIFY,1.33
0.5,0.6,1.3,REPAIR,1.3
0.5,0.61,1.27,REPAIR,1.27
0.5,0.62,1.24,REPAIR,1.24
0.5,0.63,1.21,REPAIR,1.21
0.5,0.64,1.18,REPAIR,1.18
0.5,0.65,1.15,REPAIR,1.15
0.5,0.66,1.12,REPAIR,1.12
0.5,0.67,1.09,REPAIR,1.09
0.5,0.68,1.06,REPAIR,1.06
0.5,0.69,1.03,REPAIR,1.03
0.5,0.7,1.0,REPAIR,1.0
0.5,0.71,0.97,REPAIR,0.97
0.5,0.72,0.94,REPAIR,0.94
0.5,0.73,0.91,REPAIR,0.91
0.5,0.74,0.88,REPAIR,0.88
0.5,0.75,0.85,REPAIR,0.85
0.5,0.76,0.82,REPAIR,0.82
0.5,0.77,0.79,REPAIR,0.79
0.5,0.78,0.76,REPAIR,0.76
0.5,0.79,0.73,REPAIR,0.73
0.5,0.8,0.7,REPAIR,0.7
0.5,0.81,0.67,REPAIR,0.67
0.5,0.82,0.64,REPAIR,0.64
0.5,0.83,0.61,REPAIR,0.61
0.5,0.84,0.58,REPAIR,0.58
0.5,0.85,0.55,REPAIR,0.55
0.5,0.86,0.52,REPAIR,0.52
0.5,0.87,0.49,REPAIR,0.49
0.5,0.88,0.46,REPAIR,0.46
0.5,0.89,0.43,REPAIR,0.43
0.5,0.9,0.4,REPAIR,0.4
0.5,0.91,0.37,REPAIR,0.37
0.5,0.92,0.34,REPAIR,0.34
0.5,0.93,0.31,REPAIR,0.31
0.5,0.94,0.28,REPAIR,0.28
0.5,0.95,0.25,REPAIR,0.25
0.5,0.96,0.22,REPAIR,0.22
0.5,0.97,0.19,REPAIR,0.19
0.5,0.98,0.16,REPAIR,0.16
0.5,0.99,0.13,REPAIR,0.13
0.5,1.0,0.1,REPAIR,0.1
0.2,0.0,0.0,KEEP,1.1
0.2,0.01,0.12,KEEP,1.104976
0.2,0.02,0.24,KEEP,1.106752
0.2,0.03,0.36,KEEP,1.108528
0.2,0.04,0.48,KEEP,1.110304
0.2,0.05,0.6,KEEP,1.11208
0.2,0.06,0.72,KEEP,1.112832
0.2,0.07,0.84,KEEP,1.105904
0.2,0.08,0.883584,VERIFY,1.098976
0.2,0.09,0.903832,VERIFY,1.092048
0.2,0.1,0.92408,VERIFY,1.08512
0.2,0.11,0.944328,VERIFY,1.078192
0.2,0.12,0.964576,VERIFY,1.071264
0.2,0.13,0.984824,VERIFY,1.064336
0.2,0.14,1.005072,VERIFY,1.057408
0.2,0.15,1.02532,VERIFY,1.05048
0.2,0.16,1.043552,REPAIR,1.043552
0.2,0.17,1.036624,REPAIR,1.036624
0.2,0.18,1.029696,REPAIR,1.029696
0.2,0.19,1.022768,REPAIR,1.022768
0.2,0.2,1.01584,REPAIR,1.01584
0.2,0.21,1.008912,REPAIR,1.008912
0.2,0.22,1.001984,REPAIR,1.001984
0.2,0.23,0.995056,REPAIR,0.995056
0.2,0.24,0.988128,REPAIR,0.988128
0.2,0.25,0.9812,REPAIR,0.9812
0.2,0.26,0.974272,REPAIR,0.974272
0.2,0.27,0.967344,REPAIR,0.967344
0.2,0.28,0.960416,REPAIR,0.960416
0.2,0.29,0.953488,REPAIR,0.953488
0.2,0.3,0.94656,REPAIR,0.94656
0.2,0.31,0.939632,REPAIR,0.939632
0.2,0.32,0.932704,REPAIR,0.932704
0.2,0.33,0.925776,REPAIR,0.925776
0.2,0.34,0.918848,REPAIR,0.918848
0.2,0.35,0.91192,REPAIR,0.91192
0.2,0.36,0.904992,REPAIR,0.904992
0.2,0.37,0.898064,REPAIR,0.898064
0.2,0.38,0.891136,REPAIR,0.891136
0.2,0.39,0.884208,REPAIR,0.884208
0.2,0.4,0.87728,REPAIR,0.87728
0.2,0.41,0.870352,REPAIR,0.870352
0.2,0.42,0.863424,REPAIR,0.863424
0.2,0.43,0.856496,REPAIR,0.856496
0.2,0.44,0.849568,REPAIR,0.849568
0.2,0.45,0.84264,REPAIR,0.84264
0.2,0.46,0.835712,REPAIR,0.835712
0.2,0.47,0.828784,REPAIR,0.828784
0.2,0.48,0.821856,REPAIR,0.821856
0.2,0.49,0.814928,REPAIR,0.814928
0.2,0.5,0.808,REPAIR,0.808
0.2,0.51,0.794928,REPAIR,0.794928
0.2,0.52,0.781856,REPAIR,0.781856
0.2,0.53,0.768784,REPAIR,0.768784
0.2,0.54,0.755712,REPAIR,0.755712
0.2,0.55,0.74264,REPAIR,0.74264
0.2,0.56,0.729568,REPAIR,0.729568
0.2,0.57,0.716496,REPAIR,0.716496
0.2,0.58,0.703424,REPAIR,0.703424
0.2,0.59,0.690352,REPAIR,0.690352
0.2,0.6,0.67728,REPAIR,0.67728
0.2,0.61,0.664208,REPAIR,0.664208
0.2,0.62,0.651136,REPAIR,0.651136
0.2,0.63,0.638064,REPAIR,0.638064
0.2,0.64,0.624992,REPAIR,0.624992
0.2,0.65,0.61192,REPAIR,0.61192
0.2,0.66,0.598848,REPAIR,0.598848
0.2,0.67,0.585776,REPAIR,0.585776
0.2,0.68,0.572704,REPAIR,0.572704
0.2,0.69,0.559632,REPAIR,0.559632
0.2,0.7,0.54656,REPAIR,0.54656
0.2,0.71,0.533488,REPAIR,0.533488
0.2,0.72,0.520416,REPAIR,0.520416
0.2,0.73,0.507344,REPAIR,0.507344
0.2,0.74,0.494272,REPAIR,0.494272
0.2,0.75,0.4812,REPAIR,0.4812
0.2,0.76,0.468128,REPAIR,0.468128
0.2,0.77,0.455056,REPAIR,0.455056
0.2,0.78,0.441984,REPAIR,0.441984
0.2,0.79,0.428912,REPAIR,0.428912
0.2,0.8,0.41584,REPAIR,0.41584
0.2,0.81,0.402768,REPAIR,0.402768
0.2,0.82,0.389696,REPAIR,0.389696
0.2,0.83,0.376624,REPAIR,0.376624
0.2,0.84,0.363552,REPAIR,0.363552
0.2,0.85,0.35048,REPAIR,0.35048
0.2,0.86,0.337408,REPAIR,0.337408
0.2,0.87,0.324336,REPAIR,0.324336
0.2,0.88,0.311264,REPAIR,0.311264
0.2,0.89,0.298192,REPAIR,0.298192
0.2,0.9,0.28512,REPAIR,0.28512
0.2,0.91,0.272048,REPAIR,0.272048
0.2,0.92,0.258976,REPAIR,0.258976
0.2,0.93,0.245904,REPAIR,0.245904
0.2,0.94,0.232832,REPAIR,0.232832
0.2,0.95,0.21208,REPAIR,0.21208
0.2,0.96,0.190304,REPAIR,0.190304
0.2,0.97,0.168528,REPAIR,0.168528
0.2,0.98,0.146752,REPAIR,0.146752
0.2,0.99,0.124976,REPAIR,0.124976
0.2,1.0,0.1,REPAIR,0.1
0.05,0.0,0.0,KEEP,1.1
0.05,0.01,0.12,KEEP,1.09123325
0.05,0.02,0.24,KEEP,1.081504
0.05,0.03,0.36,KEEP,1.07177475
0.05,0.04,0.48,KEEP,1.0620455
0.05,0.05,0.6,KEEP,1.05231625
0.05,0.06,0.72,KEEP,1.042587
0.05,0.07,0.816509,VERIFY,1.03285775
0.05,0.08,0.835596,VERIFY,1.0231285
0.05,0.09,0.854683,VERIFY,1.01339925
0.05,0.1,0.87377,VERIFY,1.00367
0.05,0.11,0.892857,VERIFY,0.99394075
0.05,0.12,0.911944,VERIFY,0.9842115
0.05,0.13,0.931031,VERIFY,0.97448225
0.05,0.14,0.950118,VERIFY,0.964753
0.05,0.15,0.95502375,REPAIR,0.95502375
0.05,0.16,0.9452945,REPAIR,0.9452945
0.05,0.17,0.93556525,REPAIR,0.93556525
0.05,0.18,0.925836,REPAIR,0.925836
0.05,0.19,0.91610675,REPAIR,0.91610675
0.05,0.2,0.9063775,REPAIR,0.9063775
0.05,0.21,0.89664825,REPAIR,0.89664825
0.05,0.22,0.886919,REPAIR,0.886919
0.05,0.23,0.87718975,REPAIR,0.87718975
0.05,0.24,0.8674605,REPAIR,0.8674605
0.05,0.25,0.85773125,REPAIR,0.85773125
0.05,0.26,0.848002,REPAIR,0.848002
0.05,0.27,0.83827275,REPAIR,0.83827275
0.05,0.28,0.8285435,REPAIR,0.8285435
0.05,0.29,0.81881425,REPAIR,0.81881425
0.05,0.3,0.809085,REPAIR,0.809085
0.05,0.31,0.79935575,REPAIR,0.79935575
0.05,0.32,0.7896265,REPAIR,0.7896265
0.05,0.33,0.77989725,REPAIR,0.77989725
0.05,0.34,0.770168,REPAIR,0.770168
0.05,0.35,0.76043875,REPAIR,0.76043875
0.05,0.36,0.7507095,REPAIR,0.7507095
0.05,0.37,0.74098025,REPAIR,0.74098025
0.05,0.38,0.731251,REPAIR,0.731251
0.05,0.39,0.72152175,REPAIR,0.72152175
0.05,0.4,0.7117925,REPAIR,0.7117925
0.05,0.41,0.70206325,REPAIR,0.70206325
0.05,0.42,0.692334,REPAIR,0.692334
0.05,0.43,0.68260475,REPAIR,0.68260475
0.05,0.44,0.6728755,REPAIR,0.6728755
0.05,0.45,0.66314625,REPAIR,0.66314625
0.05,0.46,0.653417,REPAIR,0.653417
0.05,0.47,0.64368775,REPAIR,0.64368775
0.05,0.48,0.6339585,REPAIR,0.6339585
0.05,0.49,0.62422925,REPAIR,0.62422925
0.05,0.5,0.6145,REPAIR,0.6145
0.05,0.51,0.60422925,REPAIR,0.60422925
0.05,0.52,0.5939585,REPAIR,0.5939585
0.05,0.53,0.58368775,REPAIR,0.58368775
0.05,0.54,0.573417,REPAIR,0.573417
0.05,0.55,0.56314625,REPAIR,0.56314625
0.05,0.56,0.5528755,REPAIR,0.5528755
0.05,0.57,0.54260475,REPAIR,0.54260475
0.05,0.58,0.532334,REPAIR,0.532334
0.05,0.59,0.52206325,REPAIR,0.52206325
0.05,0.6,0.5117925,REPAIR,0.5117925
0.05,0.61,0.50152175,REPAIR,0.50152175
0.05,0.62,0.491251,REPAIR,0.491251
0.05,0.63,0.48098025,REPAIR,0.48098025
0.05,0.64,0.4707095,REPAIR,0.4707095
0.05,0.65,0.46043875,REPAIR,0.46043875
0.05,0.66,0.450168,REPAIR,0.450168
0.05,0.67,0.43989725,REPAIR,0.43989725
0.05,0.68,0.4296265,REPAIR,0.4296265
0.05,0.69,0.41935575,REPAIR,0.41935575
0.05,0.7,0.409085,REPAIR,0.409085
0.05,0.71,0.39881425,REPAIR,0.39881425
0.05,0.72,0.3885435,REPAIR,0.3885435
0.05,0.73,0.37827275,REPAIR,0.37827275
0.05,0.74,0.368002,REPAIR,0.368002
0.05,0.75,0.35773125,REPAIR,0.35773125
0.05,0.76,0.3474605,REPAIR,0.3474605
