horizon,prior,action,repair_optimal,KEEP,VERIFY,REPAIR,value
1,0.0,KEEP,0,0.0,0.5,0.3,0.0
1,0.01,KEEP,0,0.04,0.52,0.318,0.04
1,0.02,KEEP,0,0.08,0.54,0.336,0.08
1,0.03,KEEP,0,0.12,0.56,0.354,0.12
1,0.04,KEEP,0,0.16,0.58,0.372,0.16
1,0.05,KEEP,0,0.2,0.6,0.39,0.2
1,0.06,KEEP,0,0.24,0.62,0.408,0.24
1,0.07,KEEP,0,0.28,0.64,0.426,0.28
1,0.08,KEEP,0,0.32,0.66,0.444,0.32
1,0.09,KEEP,0,0.36,0.68,0.462,0.36
1,0.1,KEEP,0,0.4,0.7,0.48,0.4
1,0.11,KEEP,0,0.44,0.72,0.498,0.44
1,0.12,KEEP,0,0.48,0.74,0.516,0.48
1,0.13,KEEP,0,0.52,0.76,0.534,0.52
1,0.14,REPAIR,1,0.56,0.78,0.552,0.552
1,0.15,REPAIR,1,0.6,0.8,0.57,0.57
1,0.16,REPAIR,1,0.64,0.82,0.588,0.588
1,0.17,REPAIR,1,0.68,0.84,0.606,0.606
1,0.18,REPAIR,1,0.72,0.86,0.624,0.624
1,0.19,REPAIR,1,0.76,0.88,0.642,0.642
1,0.2,REPAIR,1,0.8,0.9,0.66,0.66
1,0.21,REPAIR,1,0.84,0.9,0.678,0.678
1,0.22,REPAIR,1,0.88,0.9,0.696,0.696
1,0.23,REPAIR,1,0.92,0.9,0.714,0.714
1,0.24,REPAIR,1,0.96,0.9,0.732,0.732
1,0.25,REPAIR,1,1.0,0.9,0.75,0.75
1,0.26,REPAIR,1,1.04,0.9,0.768,0.768
1,0.27,REPAIR,1,1.08,0.9,0.786,0.786
1,0.28,REPAIR,1,1.12,0.9,0.804,0.804
1,0.29,REPAIR,1,1.16,0.9,0.822,0.822
1,0.3,REPAIR,1,1.2,0.9,0.84,0.84
1,0.31,REPAIR,1,1.24,0.9,0.858,0.858
1,0.32,REPAIR,1,1.28,0.9,0.876,0.876
1,0.33,REPAIR,1,1.32,0.9,0.894,0.894
1,0.34,VERIFY,0,1.36,0.9,0.912,0.9
1,0.35,VERIFY,0,1.4,0.9,0.93,0.9
1,0.36,VERIFY,0,1.44,0.9,0.948,0.9
1,0.37,VERIFY,0,1.48,0.9,0.966,0.9
1,0.38,VERIFY,0,1.52,0.9,0.984,0.9
1,0.39,VERIFY,0,1.56,0.9,1.002,0.9
1,0.4,VERIFY,0,1.6,0.9,1.02,0.9
1,0.41,VERIFY,0,1.64,0.9,1.038,0.9
1,0.42,VERIFY,0,1.68,0.9,1.056,0.9
1,0.43,VERIFY,0,1.72,0.9,1.074,0.9
1,0.44,VERIFY,0,1.76,0.9,1.092,0.9
1,0.45,VERIFY,0,1.8,0.9,1.11,0.9
1,0.46,VERIFY,0,1.84,0.9,1.128,0.9
1,0.47,VERIFY,0,1.88,0.9,1.146,0.9
1,0.48,VERIFY,0,1.92,0.9,1.164,0.9
1,0.49,VERIFY,0,1.96,0.9,1.182,0.9
1,0.5,VERIFY,0,2.0,0.9,1.2,0.9
1,0.51,VERIFY,0,2.0,0.9,1.178,0.9
1,0.52,VERIFY,0,2.0,0.9,1.156,0.9
1,0.53,VERIFY,0,2.0,0.9,1.134,0.9
1,0.54,VERIFY,0,2.0,0.9,1.112,0.9
1,0.55,VERIFY,0,2.0,0.9,1.09,0.9
1,0.56,VERIFY,0,2.0,0.9,1.068,0.9
1,0.57,VERIFY,0,2.0,0.9,1.046,0.9
1,0.58,VERIFY,0,2.0,0.9,1.024,0.9
1,0.59,VERIFY,0,2.0,0.9,1.002,0.9
1,0.6,VERIFY,0,2.0,0.9,0.98,0.9
