log_inverse_delta,horizon,environment,lower_bound,normalized_lower_bound,separated_coefficient,post_means
2,4,1,60.11207205711819,30.056036028559095,48.99319652320355,"(0.4375, 0.5, 0.5625)"
2,4,2,5.838140153696781,2.9190700768483904,4.41912460482752,"(0.4375, 0.5, 0.5625)"
2,4,3,60.93449441802074,30.46724720901037,49.66349616475457,"(0.4375, 0.5, 0.5625)"
4,16,1,181.78942446365113,45.44735611591278,48.99319652320355,"(0.46875, 0.5, 0.53125)"
4,16,2,16.81192052285894,4.202980130714735,4.41912460482752,"(0.46875, 0.5, 0.53125)"
4,16,3,184.27657359257236,46.06914339814309,49.66349616475457,"(0.46875, 0.5, 0.53125)"
8,64,1,385.54003461473854,48.19250432684232,48.99319652320355,"(0.484375, 0.5, 0.515625)"
8,64,2,35.189630796768164,4.3987038495960205,4.41912460482752,"(0.484375, 0.5, 0.515625)"
8,64,3,390.81479448641653,48.851849310802066,49.66349616475457,"(0.484375, 0.5, 0.515625)"
16,256,1,777.7663144041591,48.61039465025994,48.99319652320355,"(0.4921875, 0.5, 0.5078125)"
16,256,2,70.56786276184307,4.410491422615192,4.41912460482752,"(0.4921875, 0.5, 0.5078125)"
16,256,3,788.4073119048765,49.27545699405478,49.66349616475457,"(0.4921875, 0.5, 0.5078125)"
32,1024,1,1561.6580145763692,48.80181295551154,48.99319652320355,"(0.49609375, 0.5, 0.50390625)"
32,1024,2,141.27388549599905,4.41480892174997,4.41912460482752,"(0.49609375, 0.5, 0.50390625)"
32,1024,3,1583.0238139460848,49.46949418581515,49.66349616475457,"(0.49609375, 0.5, 0.50390625)"
64,4096,1,3129.440396770306,48.89750619953603,48.99319652320355,"(0.498046875, 0.5, 0.501953125)"
64,4096,2,282.6858760114483,4.416966812678879,4.41912460482752,"(0.498046875, 0.5, 0.501953125)"
64,4096,3,3172.2557859482085,49.56649665544076,49.66349616475457,"(0.498046875, 0.5, 0.501953125)"
128,16384,1,6265.004997617332,48.94535154388541,48.99319652320355,"(0.4990234375, 0.5, 0.5009765625)"
128,16384,2,565.5098515106247,4.418045714926755,4.41912460482752,"(0.4990234375, 0.5, 0.5009765625)"
128,16384,3,6350.719564174126,49.61499659511036,49.66349616475457,"(0.4990234375, 0.5, 0.5009765625)"
256,65536,1,12536.134158427898,48.96927405635898,48.99319652320355,"(0.49951171875, 0.5, 0.50048828125)"
256,65536,2,1131.1578011260945,4.4185851606488065,4.41912460482752,"(0.49951171875, 0.5, 0.50048828125)"
256,65536,3,12707.64707918313,49.639246403059104,49.66349616475457,"(0.49951171875, 0.5, 0.50048828125)"
